latitude,longitude,time,GPI
36.5,51.5,13602255.0,0.0
36.5,52.5,13602255.0,0.0
36.5,53.5,13602255.0,0.0
36.5,54.5,13602255.0,0.0
36.5,55.5,13602255.0,0.0
36.5,56.5,13602255.0,0.0
36.5,57.5,13602255.0,0.0
36.5,58.5,13602255.0,0.0
36.5,59.5,13602255.0,0.0
36.5,60.5,13602255.0,0.0
36.5,61.5,13602255.0,0.0
36.5,62.5,13602255.0,0.0
36.5,63.5,13602255.0,0.0
36.5,64.5,13602255.0,0.0
36.5,65.5,13602255.0,0.0
36.5,66.5,13602255.0,0.0
36.5,67.5,13602255.0,0.0
36.5,68.5,13602255.0,0.0
36.5,69.5,13602255.0,0.0
36.5,70.5,13602255.0,0.0
36.5,71.5,13602255.0,0.0
36.5,72.5,13602255.0,0.0
36.5,73.5,13602255.0,0.0
36.5,74.5,13602255.0,0.0
36.5,75.5,13602255.0,0.0
36.5,76.5,13602255.0,0.0
36.5,77.5,13602255.0,0.0
36.5,78.5,13602255.0,0.0
36.5,79.5,13602255.0,0.0
36.5,80.5,13602255.0,0.006980798
36.5,81.5,13602255.0,0.0040170224
36.5,82.5,13602255.0,0.0
36.5,83.5,13602255.0,0.0
36.5,84.5,13602255.0,0.0
36.5,85.5,13602255.0,0.0
36.5,86.5,13602255.0,0.0
36.5,87.5,13602255.0,0.0
36.5,88.5,13602255.0,0.0
36.5,89.5,13602255.0,0.0
36.5,90.5,13602255.0,0.0
36.5,91.5,13602255.0,0.0
36.5,92.5,13602255.0,0.0
36.5,93.5,13602255.0,0.0
36.5,94.5,13602255.0,0.0
36.5,95.5,13602255.0,0.0
36.5,96.5,13602255.0,0.0002731707
36.5,97.5,13602255.0,0.010515534
36.5,98.5,13602255.0,0.0352442
36.5,99.5,13602255.0,0.015122009
36.5,100.5,13602255.0,0.001390909
36.5,101.5,13602255.0,0.061749835
36.5,102.5,13602255.0,0.30382726
36.5,103.5,13602255.0,1.2474107
36.5,104.5,13602255.0,0.7522808
36.5,105.5,13602255.0,0.06677169
36.5,106.5,13602255.0,1.2373201
36.5,107.5,13602255.0,1.2396924
36.5,108.5,13602255.0,0.04529029
36.5,109.5,13602255.0,0.009408003
36.5,110.5,13602255.0,0.010641359
36.5,111.5,13602255.0,0.0
36.5,112.5,13602255.0,0.0
36.5,113.5,13602255.0,0.0
